Program_Name,Engagingness,Interactive_Activities,Effortful,Personalization,Cognitive_Reframing,Behavioral_Activation,Mindfulness,Video_Audio,References_Depression,Links_to_Resources,Meditation_Practice,Clinician_Created,Take_Home_Reminder
Mindful Acceptance,3,4,3,1,4,2,5,Yes,No,No,Yes,Yes,No
Moral Elevation (Advertisement),4,4,3,1,1,5,2,Yes,Yes,No,No,No,Yes
Mindful Attention Skills,3,2,2,1,4,2,5,Yes,Yes,No,No,No,Yes
5 Habits to Beat Depression,5,1,1,1,2,5,1,Yes,Yes,Yes,No,Yes,No
Interactive Cognitive Reappraisal,4,4,3,4,5,2,1,No,Yes,No,No,No,No
AI-assisted Personalized Narrative,3,4,4,5,4,1,1,No,No,No,No,No,No
Inner Child Healing Walk,4,3,1,1,1,1,4,Yes,No,No,Yes,No,No
Savoring Strategies,3,4,3,4,1,2,3,No,Yes,Yes,Yes,No,Yes
Personalized Intervention Recommender (Therabee),3,2,2,5,1,1,1,No,Yes,Yes,No,Yes,Yes
Dialectical Behavioral Therapy Skills,3,1,2,4,3,2,4,Yes,Yes,Yes,Yes,Yes,No
Reframing Negative Thoughts,2,2,2,1,5,1,3,Yes,Yes,No,No,Yes,No
Behavioral Activation (Action Brings Change Project),2,3,3,3,2,5,1,No,No,No,No,Yes,Yes
