"Variable","5 Habits to Beat Depression","AI-assisted Personalized Narrative","Behavioral Activation","Dialectical Behavioral Therapy Skills","Inner Child Healing Walk","Interactive Cognitive Reappraisal","Mindful Acceptance","Mindful Attention Skills","Moral Elevation","Personalized Intervention Recommender","Reframing Negative Thoughts","Savoring Strategies","Passive control"
"Age, M (SD)","36.4 (12.0)","36.1 (11.1)","36.3 (11.7)","36.7 (11.3)","35.5 (11.5)","37.4 (11.6)","37.1 (11.8)","36.8 (11.3)","36.9 (11.4)","38.4 (12.1)","36.4 (11.9)","38.2 (12.6)","37.4 (11.9)"
"Gender, %","","","","","","","","","","","","",""
"    Woman","56.2","60.4","60.5","61.3","56.8","60.8","57.8","62.5","59.7","63.2","60.2","55.8","59.8"
"    Man","38.0","36.6","34.5","34.6","38.1","32.8","36.1","33.4","36.4","31.8","35.1","38.2","35.9"
"    Non-binary or other gender identity","5.5","2.8","4.5","4.1","4.7","5.7","5.6","3.8","4.0","4.0","4.5","5.8","4.0"
"Race, %","","","","","","","","","","","","",""
"    White","73.6","76.5","72.6","71.0","72.4","76.4","73.1","75.8","75.3","77.2","74.4","73.8","73.2"
"    Black or African American","14.1","11.8","12.7","14.3","14.8","12.1","13.8","11.9","11.5","12.6","13.3","13.7","14.8"
"    Asian","6.6","5.4","6.0","7.6","6.6","4.2","6.3","5.4","6.4","3.7","5.9","6.4","5.6"
"    American Indian, Alaska Native, or Pacific Islander","1.8","1.8","1.2","1.8","1.5","0.6","1.0","0.3","0.8","1.0","0.5","1.5","1.8"
"    Other","3.2","3.3","6.9","3.6","3.9","4.8","4.7","5.9","5.2","4.5","5.3","4.2","3.8"
"    Prefer not to say","0.8","1.1","0.7","1.7","0.7","1.9","1.0","0.7","0.8","1.0","0.8","0.5","0.8"
"Hispanic or Latino, %","10.7","12.8","10.8","14.4","11.9","10.2","11.0","10.9","12.1","9.8","14.1","7.5","9.6"
"Education, %","","","","","","","","","","","","",""
"    Less than high school","1.3","1.1","1.4","1.5","0.5","1.4","1.9","0.5","1.0","0.7","1.0","1.6","1.0"
"    High school graduate or GED","13.1","11.3","14.2","14.5","16.6","14.6","13.5","14.0","13.9","13.2","13.8","12.2","15.4"
"    Some post-secondary","35.2","36.9","37.7","36.4","33.6","38.0","34.6","35.0","38.8","40.7","39.6","33.3","36.6"
